X, Y, Z, Curvature
-6.446170, -79.055023, 0.092539, 0.000000
-6.446170, -79.055023, 0.001229, 0.000000
-6.446170, -79.055023, 0.001229, 0.000000
-6.446170, -79.055023, 0.001229, 0.000000
-6.446170, -79.055023, -0.022859, 0.000000
-6.446170, -79.055023, -0.022859, 0.000000
-6.446170, -79.055023, -0.022859, 0.000000
-6.446170, -79.055023, -0.022859, 0.000000
-6.446170, -79.055023, -0.022859, 0.000000
-6.446170, -79.055023, -0.022859, 0.000000
-6.446170, -79.055023, -0.022859, 0.000000
-6.446170, -79.055023, -0.022859, 0.000000
-6.446170, -79.055023, -0.022859, 0.000000
-6.446170, -79.055023, -0.022859, 0.000000
-6.446170, -79.055023, -0.019098, 0.000000
-6.446170, -79.055023, -0.019098, 0.000000
-6.446170, -79.055023, -0.019098, 0.000000
-6.446170, -79.055023, -0.019098, 0.000000
-6.446170, -79.055023, -0.019098, 0.000000
-6.446170, -79.055023, -0.019098, 0.000000
-6.446170, -79.055023, -0.019098, 0.000000
-6.446170, -79.055023, -0.010645, 0.000000
-6.446170, -79.055023, -0.010645, 0.000000
-6.446170, -79.055023, -0.010645, 0.000000
-6.446170, -79.055023, -0.010645, 0.000000
-6.446170, -79.055023, -0.010645, 0.000000
-6.446170, -79.055023, -0.010645, 0.000000
-6.446170, -79.055023, -0.004870, 0.000000
-6.446170, -79.055023, -0.004870, 0.000000
-6.446170, -79.055023, -0.004870, 0.000000
-6.446170, -79.055023, -0.004870, 0.000000
-6.446170, -79.055023, -0.004870, 0.000000
-6.446170, -79.055023, -0.004870, 0.000000
-6.446170, -79.055023, -0.001552, 0.000000
-6.446170, -79.055023, -0.001552, 0.000000
-6.446170, -79.055023, -0.001552, 0.000000
-6.446170, -79.055023, -0.001552, 0.000000
-6.446170, -79.055023, -0.001552, 0.000000
-6.446170, -79.055023, -0.001552, 0.000000
-6.446170, -79.055023, -0.001552, 0.000000
-6.446170, -79.055023, 0.000152, 0.000000
-6.446170, -79.055023, 0.000152, 0.000000
-6.446170, -79.055023, 0.000152, 0.000000
-6.446170, -79.055023, 0.000152, 0.000000
-6.446170, -79.055023, 0.000152, 0.000000
-6.446170, -79.055023, 0.000152, 0.000000
-6.446170, -79.055023, 0.000152, 0.000000
